CODIGO ESTACION,NOMBRE ESTACION,COD_REGION,LAT,LONG,UTM_ESTE,UTM_NORTE,ALTITUD,ANIO,MES,PREP_MENSUAL
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1978,6,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1978,7,1
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1978,8,1
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1978,9,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1978,10,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1978,11,57.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1978,12,58
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1979,1,157.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1979,2,14
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1979,3,88
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1979,4,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1979,5,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1979,6,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1979,7,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1979,8,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1979,9,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1979,10,8.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1979,11,5.8
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1979,12,123.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1980,1,38
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1980,2,29
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1980,3,91
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1980,4,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1980,5,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1980,6,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1980,7,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1980,8,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1980,9,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1980,10,35
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1980,11,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1980,12,48
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1981,1,174.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1981,2,176.8
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1981,3,27
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1981,4,25
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1981,5,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1981,6,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1981,7,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1981,8,12
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1981,9,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1981,10,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1981,11,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1981,12,96.3
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1982,1,79.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1982,2,26
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1982,3,98.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1982,4,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1982,5,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1982,6,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1982,7,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1982,8,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1982,9,0.8
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1982,10,63.4
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1982,11,0.2
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1982,12,28
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1983,1,17
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1983,2,13.4
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1983,3,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1983,4,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1983,5,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1983,6,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1983,7,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1983,8,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1983,9,1.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1983,10,3
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1983,11,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1983,12,10
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1984,1,167
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1984,2,206
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1984,3,149.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1984,4,2
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1984,5,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1984,6,3
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1984,7,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1984,8,5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1984,9,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1984,10,60
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1984,11,89
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1984,12,42
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1985,1,71
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1985,2,165
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1985,3,37
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1985,4,0.2
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1985,5,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1985,6,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1985,7,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1985,8,0
