CODIGO ESTACION,NOMBRE ESTACION,COD_REGION,REGION,COMUNA,LAT,LONG,UTM_ESTE,UTM_NORTE,ALTITUD,ANIO,MES,TEMP_MEDIA_MENSUAL,Unidad
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1984,9,1.3,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1984,10,4.3,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1984,11,4.7,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1984,12,5.1,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1985,1,5.3,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1985,2,6.8,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1985,3,7.3,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1985,4,5.8,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1985,5,4.9,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1985,6,2.3,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1985,7,-0.2,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1985,8,3.2,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1985,9,3.1,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1985,10,4.7,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1985,11,5.1,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1985,12,2.4,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1986,1,4.9,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1986,2,4.8,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1986,3,5.6,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1986,4,4.3,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1986,5,0.9,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1986,6,-0.3,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1986,7,1.9,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1986,8,1.8,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1986,9,3.6,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1986,10,3.3,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1986,12,13.0,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1987,1,3.9,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1987,9,0.7,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1987,10,4.1,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1987,11,6.2,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1987,12,4.2,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1988,1,4.9,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1988,2,9.5,°C
